word,definition
"crazy","not sensible; stupid"
"compare","to examine people or things to see how they are similar and how they are different"
"control","the power to make decisions about how a country, an area, an organization, etc. is run"
"crew","all the people working on a ship, plane, etc."
"crime","activities that involve breaking the law"
"criticize","to say that you think somebody/something is bad; to say what you do not like or think is wrong about somebody/something"
"cut","to make an opening or a wound in something, especially with a sharp tool such as a knife or scissors"
"crop","a plant that is grown in large quantities, especially as food"
"convince","to make somebody/yourself believe that something is true"
"complete","including all the parts, etc. that are necessary; whole"
"current","happening now; of the present time"
"dare","to be brave enough to do something"
"cup","a small container that is like a bowl in shape, usually with a handle, used for drinking tea, coffee, etc."
"copy","a thing that is made to be the same as something else, especially a document or a work of art"
"computer","an electronic machine that can store, organize and find information, do processes with numbers and other data, and control other machines"
"daily","happening, done or produced every day"
"cycle","a bicycle or motorcycle"
"deal","to give cards to each player in a game of cards"
"curious","having a strong desire to know about something"
"conclusion","something that you decide when you have thought about all the information connected with the situation"
"cost","the amount of money that you need in order to buy, make or do something"
"data","facts or information, especially when examined and used to find out things or to make decisions"
"dark","with no or very little light, especially because it is night"
"decision","a choice or judgement that you make after thinking and talking about what is the best thing to do"
"dad","father"
"conflict","a situation in which people, groups or countries disagree strongly or are involved in a serious argument"
"defeat","to win against somebody in a war, competition, sports game, etc."
"dealer","a person whose business is buying and selling a particular product"
"coast","the land next to or near to the sea or ocean"
"comparison","the process of comparing two or more people or things"
"consensus","an opinion that all members of a group agree with"
"darkness","the state of being dark, without any light"
"completely","in every way possible; in every part"
"constant","happening all the time or repeatedly"
"dear","used at the beginning of a letter before the name or title of the person that you are writing to"
"concentrate","to give all your attention to something and not think about anything else"
"deck","the top outside floor of a ship or boat"
"consumer","a person who buys goods or uses services"
"definition","an explanation of the meaning of a word or phrase, especially in a dictionary"
"concrete","made of concrete"
"declare","to say something officially or publicly"
"democratic","controlled by representatives who are elected by the people of a country; connected with this system"
"context","the situation in which something happens and that helps you to understand it"
"defend","to protect somebody/something from attack"
"collect","to bring things together from different people or places"
"defendant","the person in a trial who is accused of committing a crime, or who is being sued by another person"
"confront","to appear and need to be dealt with by somebody"
"controversial","causing a lot of angry public discussion and disagreement"
"combine","to come together to form a single thing or group; to join two or more things or groups together to form a single one"
"depict","to show an image of somebody/something in a picture"
"degree","a unit for measuring temperature"
"delay","a period of time when somebody/something has to wait because of a problem that makes something slow or late"
"country","an area of land that has or used to have its own government and laws"
"consequence","a result of something that has happened, especially an unpleasant result"
"death","the fact of somebody dying or being killed"
"cook","to prepare food by heating it, for example by boiling, baking or frying it"
"commercial","connected with the buying and selling of goods and services"
"deserve","to do something or show qualities that mean a particular reaction, reward or punishment is appropriate"
"demonstrate","to show something clearly by giving proof or evidence"
"constantly","all the time; repeatedly"
"coverage","the reporting of news and sport in the media"
"demonstration","a public meeting or a march  at which people show that they are protesting against or supporting somebody/something"
"decline","to become smaller, fewer, weaker, etc."
"community","all the people who live in a particular area, country, etc. when talked about as a group"
"destruction","the act of destroying something; the process of being destroyed"
"core","the most important or central part of something"
"depression","a medical condition in which a person feels very sad, anxious and without hope and often has physical symptoms such as being unable to sleep, etc."
"creation","the act or process of making something that is new, or of causing something to exist that did not exist before"
"consumption","the act of using energy, food or materials; the amount used"
"depth","the distance from the top or surface to the bottom of something; a particular distance down from the surface of something"
"device","an object or a piece of equipment that has been designed to do a particular job"
"cotton","a plant grown in warm countries for the soft white hairs around its seeds that are used to make cloth and thread"
"criteria","a standard or principle by which something is judged, or with the help of which a decision is made"
"complain","to say that you are annoyed, unhappy or not satisfied about somebody/something"
"differently","in a different way from somebody/something"
"design","the general arrangement of the different parts of something that is made, such as a building, book, machine, etc."
"crucial","extremely important, because it will affect other things"
"composition","the different parts that something is made of; the way in which the different parts are organized"
"direct","going in the straightest line between two places without stopping or changing direction"
"detail","a small individual fact or item; a less important fact or item"
"designer","a person whose job is to decide how things such as clothes, furniture, tools, etc. will look or work by making drawings, plans or patterns"
"curriculum","the subjects that are included in a course of study or taught in a school, college, etc."
"disappear","to become impossible to see"
"county","one of a number of areas that some countries are divided into, each with its own local government"
"concert","a public performance of music"
"detailed","giving many details and a lot of information; paying great attention to details"
"dance","a series of movements and steps that are usually performed to music; a particular example of these movements and steps"
"discussion","a conversation about somebody/something; the process of discussing somebody/something"
"confident","feeling sure about your own ability to do things and be successful"
"cow","a large animal kept on farms to produce milk or beef"
"daughter","a person’s female child"
"dialogue","a conversation in a book, play or film or in language teaching materials"
"difficult","not easy; needing effort or skill to do or to understand"
"connection","something that connects two facts, ideas, etc."
"distant","far away in space or time"
"defense","the act of protecting somebody/something from attack, criticism, etc."
"creative","involving the use of skill and the imagination to produce something new or a work of art"
"diversity","a range of many people or things that are very different from each other"
"continue","to keep existing or happening without stopping"
"deliver","to take goods, letters, etc. to the person or people they have been sent to"
"critic","a person who expresses opinions about the good and bad qualities of books, music, etc."
"direction","the general position a person or thing moves or points towards"
"difficulty","a problem; a thing or situation that causes problems"
"controversy","public discussion and argument about something that many people strongly disagree about, think is bad, or are shocked by"
"deny","to say that something is not true"
"consultant","a person who knows a lot about a particular subject and is employed to give advice about it to other people"
"dog","an animal with four legs and a tail, often kept as a pet or trained for work, for example hunting or guarding buildings. There are many types of , some of which are wild."
"cry","to produce tears from your eyes because you are unhappy or hurt"
"disaster","an unexpected event, such as a very bad accident, a flood or a fire, that kills a lot of people or causes a lot of damage"
"directly","without stopping or changing direction"
"cookie","a small flat sweet cake for one person, usually baked until hard and dry"
"content","the things that are contained in something"
"deputy","a person who is the next most important person below a business manager, a head of a school, a political leader, etc. and who does that person’s job when they are away"
"downtown","in or towards the centre of a city, especially its main business area"
"custom","an accepted way of behaving or of doing things in a society or a community"
"disease","an illness affecting humans, animals or plants, often caused by infection"
"discipline","the practice of training people to obey rules and orders and punishing them if they do not; the controlled behaviour or situation that is the result of this training"
"corn","any plant that is grown for its grain, such as wheat; the grain of these plants"
"contribution","a gift or payment that is made to a person or an organization in order to help pay for something"
"desire","a strong wish to have or do something"
"drawing","a picture made using a pencil or pen rather than paint"
"danger","the possibility of something happening that will injure, harm or kill somebody, or damage or destroy something"
"distinct","easily or clearly heard, seen, felt, etc."
"dish","a flat shallow container for cooking food in or serving it from"
"couch","a long comfortable seat for two or more people to sit on"
"conviction","the act of finding somebody guilty of a crime in court; the fact of having been found guilty"
"detect","to discover or notice something, especially something that is not easy to see, hear, etc."
"dry","not wet or sticky; without water or moisture"
"divide","to separate into parts; to make something separate into parts"
"day","a period of 24 hours"
"distinction","a clear difference or contrast especially between people or things that are similar or related"
"couple","two people or things"
"die","to stop living"
"early","near the beginning of a period of time, an event etc."
"debt","a sum of money that somebody owes"
"cope","to deal successfully with something difficult"
"decade","a period of ten years, especially a continuous period, such as 1910–1919 or 2000–2009"
"division","the process or result of dividing into separate parts; the process or result of dividing something or sharing it out"
"crack","to break without dividing into separate parts; to break something in this way"
"domestic","of or inside a particular country; not foreign or international"
"dig","to make a hole in the ground or to move soil from one place to another using your hands, a tool or a machine"
"deeply","very; very much"
"correspondent","a person who reports news from a particular country or on a particular subject for a newspaper or a television or radio station"
"easy","not difficult; done or obtained without a lot of effort or problems"
"deep","having a large distance from the top or surface to the bottom"
"director","one of a group of senior managers who run a company"
"creature","a living thing, real or imaginary, that can move around, such as an animal"
"define","to say or explain what the meaning of a word or phrase is"
"dozen","a group of twelve of the same thing"
"discourse","a long and serious treatment or discussion of a subject in speech or writing"
"critical","saying what you think is bad about somebody/something"
"deficit","the amount by which money spent or owed is greater than money earned in a particular period of time"
"democracy","a system of government in which the people of a country can vote to elect their representatives"
"counter","a long flat surface over which goods are sold or business is done in a shop, bank, etc."
"dream","a series of images, events and feelings that happen in your mind while you are asleep"
"cultural","connected with the culture of a particular society or group, its customs, beliefs, etc."
"demand","a very strong request for something; something that somebody needs"
"dismiss","to decide that somebody/something is not important and not worth thinking or talking about"
"dependent","needing somebody/something in order to survive or be successful"
"customer","a person or an organization that buys goods or services from a shop or business"
"depend","according to"
"due","caused by somebody/something; because of somebody/something"
"description","a piece of writing or speech that says what somebody/something is like; the act of writing or saying in words what somebody/something is like"
"dangerous","likely to injure or harm somebody, or to damage or destroy something"
"describe","to say what somebody/something is like"
"despite","used to show that something happened or is true although something else might have happened to prevent it"
"earn","to get money for work that you do"
"desperate","feeling or showing that you have little hope and are ready to do anything without worrying about danger to yourself or others"
"developing","poor, and trying to make its industry and economic system more advanced"
"eat","to put food in your mouth, bite it and swallow it"
"dominant","more important, powerful or easy to notice than other things"
"develop","to gradually grow or become bigger, more advanced, stronger, etc.; to make something do this"
"difference","the way in which two people or things are not like each other; the way in which somebody/something has changed"
"draft","a rough written version of something that is not yet in its final form"
"educate","to teach somebody over a period of time at a school, university, etc."
"editor","a person who is in charge of a newspaper, magazine, etc., or part of one, and who decides what should be included"
"differ","to be different from somebody/something"
"dining","the activity of eating a meal"
"dress","a piece of clothing that is made in one piece and hangs down to cover the body as far as the legs, sometimes reaching to below the knees, or to the ankles"
"efficiency","the quality of doing something well with no waste of time or money"
"efficient","doing something in a good, careful and complete way with no waste of time, money or energy"
"dimension","a measurement in space, for example how high, wide or long something is"
"disability","a physical or mental condition that makes it difficult for somebody to do some things that most other people can do"
"during","all through a period of time"
"cover","to place something over or in front of something in order to hide, protect or decorate it"
"election","the process of choosing a person or a group of people for a position, especially a political position, by voting"
"electric","connected with electricity; using, produced by or producing electricity"
"dirty","not clean"
"discrimination","the practice of treating somebody or a particular group in society less fairly than others"
"distinguish","to recognize the difference between two people or things"
"create","to make something happen or exist"
"earnings","the money that you earn for the work that you do"
"else","in addition to something already mentioned"
"elsewhere","in, at or to another place or other places"
"divorce","the legal ending of a marriage"
"discovery","an act or the process of finding somebody/something, or learning about something that was not known about before"
"crisis","a time of great danger, difficulty or doubt when problems must be solved or important decisions must be made"
"dispute","an argument between two people, groups or countries; discussion about a subject on which people disagree"
"economic","connected with the trade, industry and development of wealth of a country, an area or a society"
"emotional","connected with people’s feelings"
"dominate","to control or have a lot of influence over somebody/something, especially in an unpleasant way"
"emphasis","special importance that is given to something"
"crowd","a large number of people gathered together in a public place, for example in the streets or at a sports game"
"district","an area of a country or town, especially one that has particular features"
"display","to put something in a place where people can see it easily; to show something to people"
"education","a process of teaching, training and learning, especially in schools, colleges or universities, to improve knowledge and develop skills"
"dead","no longer alive"
"enable","to make it possible for somebody/something to do something"
"drag","to pull somebody/something along with effort and difficulty"
"encounter","to experience something, especially something unpleasant or difficult, while you are trying to do something else"
"currently","at the present time"
"effort","an attempt to do something especially when it is difficult to do"
"distribution","the way that something is spread or exists over a particular area or among a particular group of people"
"doctor","a person who has been trained in medical science, whose job is to treat people who are ill or injured"
"decide","to think carefully about the different possibilities that are available and choose one of them"
"engine","the part of a vehicle that produces power to make the vehicle move"
"drink","a liquid for drinking; an amount of a liquid that you drink"
"engineer","a person whose job involves designing and building engines, machines, roads, bridges, etc."
"electricity","a form of energy from charged elementary particles, usually supplied as electric current through cables, wires, etc. for lighting, heating, driving machines, etc."
"damage","physical harm caused to something which makes it less attractive, useful or valuable"
"doubt","a feeling of being uncertain about something or not believing something"
"deer","an animal with long legs that eats grass, leaves, etc. and can run fast. Most male  have antlers (= parts on their heads that are like branches in shape). There are many types of ."
"ensure","to make sure that something happens or is definite"
"dust","a fine powder that consists of very small pieces of sand, earth, etc."
"enter","to come or go into something"
"e-mail","a way of sending messages and data to other people by means of computers connected together in a network"
"dramatically","very suddenly and to a very great and often surprising degree"
"date","a particular day of the month, sometimes in a particular year, given in numbers and words"
"definitely","a way of emphasizing that something is true and that there is no doubt about it"
"environment","the natural world in which people, animals and plants live"
"do","used to refer to actions that you do not mention by name or do not know about"
"earth","the world; the planet that we live on"
"debate","a formal discussion of an issue at a public meeting or in a parliament. In a  two or more speakers express opposite views and then there is often a vote on the issue."
"democrat","a person who believes in or supports democracy"
"economics","the study of how a society organizes its money, trade and industry"
"escape","to get away from a place where you have been kept as a prisoner or not allowed to leave"
"drop","to allow something to fall by accident; to fall by accident"
"double","twice as much or as many as usual"
"environmental","connected with the natural conditions in which people, animals and plants live; connected with the environment"
"decrease","to become smaller in size, number, etc.; to make something smaller in size, number, etc."
"educational","connected with education"
"depending","according to"
"dramatic","sudden, very great and often surprising"
"especially","more with one person, thing, etc. than with others, or more in particular circumstances than in others"
"estimate","to form an idea of the cost, size, value, etc. of something, but without calculating it exactly"
"eager","very interested and excited by something that is going to happen or about something that you want to do; showing this"
"desert","a large area of land that has very little water and very few plants growing on it. Many  are covered by sand."
"defensive","protecting somebody/something against attack"
"egg","a small oval object with a thin hard shell produced by a female bird and containing a young bird; a similar object (without a hard shell) produced by a female fish, insect, etc."
"driver","a person who drives a vehicle"
"evening","the part of the day between the afternoon and the time you go to bed"
"east","the direction that you look towards to see the sun rise; one of the four main points of the compass"
"destroy","to damage something so badly that it no longer exists, works, etc."
"delivery","the act of taking goods, letters, etc. to the people they have been sent to"
"electronic","having or using many small parts, such as , that control and direct a small electric current"
"each","used to refer to every one of two or more people or things, when you are thinking about them separately"
"etc","used after a list to show that there are other things that you could have mentioned (the abbreviation for )"
"everything","all things"
"edge","the outside limit of an object, a surface or an area; the part furthest from the centre"
"development","the steady growth of something so that it becomes more advanced, stronger, etc."
"department","a section of a large organization such as a government, business, university, etc."
"embrace","an act of putting your arms around somebody as a sign of love or friendship"
"easily","without problems or difficulty"
"event","a thing that happens, especially something important"
"examine","to consider or study an idea, a subject, etc. very carefully"
"effective","producing the result that is wanted or intended; producing a successful result"
"different","not the same as somebody/something; not like somebody/something else"
"employ","to give somebody a job to do for payment"
"economy","the relationship between production, trade and the supply of money in a particular country or region"
"everywhere","in, to or at every place; all places"
"elderly","used as a polite word for"
"executive","a person who has an important job as a manager of a company or an organization"
"dinner","the main meal of the day, eaten either in the middle of the day or in the evening"
"desk","a piece of furniture like a table, often with drawers , that you sit at to read, write, work, etc."
"effect","a change that somebody/something causes in somebody/something else; a result"
"example","something such as an object, a fact or a situation that shows, explains or supports what you say"
"expansion","an act of increasing or making something increase in size, amount or importance"
"eliminate","to remove or get rid of something"
"end","the final part of a period of time, an event, an activity or a story"
"determine","to discover the facts about something; to calculate something exactly"
"disagree","if two people  or one person  with another about something, they have a different opinion about it"
"emphasize","to give special importance to something"
"either","one or the other of two; it does not matter which"
"emission","the production or sending out of light, heat, gas, etc."
"explain","to tell somebody about something in a way that makes it easy to understand"
"exercise","physical or mental activity that you do to stay healthy or become stronger"
"english","the language, originally of England, now spoken in many other countries and used as a language of international communication throughout the world"
"diet","the food and drink that you eat and drink regularly"
"discuss","to talk about something with somebody, especially in order to decide something"
"encourage","to give somebody support, courage or hope"
"elementary","in or connected with the first stages of a course of study"
"employment","work, especially when it is done to earn money; the state of being employed"
"entertainment","films, music, etc. used to entertain people; an example of this"
"digital","using a system of receiving and sending information as a series of the numbers one and zero, showing that an electronic signal is there or is not there"
"expression","a word or phrase"
"expect","to think or believe that something will happen or that somebody will do something"
"emergency","a sudden serious and dangerous event or situation that needs immediate action to deal with it"
"engineering","the activity of applying scientific knowledge to the design, building and control of machines, roads, bridges, electrical equipment, etc."
"distance","the amount of space between two places or things"
"enforcement","the act of making people obey a particular law or rule"
"equal","the same in size, quantity, value, etc. as something else"
"dirt","any substance that makes something dirty, for example dust, soil or mud"
"extreme","very great in degree"
"employer","a person or company that pays people to work for them"
"enterprise","a company or business"
"discover","to be the first person to become aware that a particular place or thing exists"
"enormous","extremely large"
"essential","completely necessary; extremely important in a particular situation or for a particular activity"
"diverse","very different from each other and of various kinds"
"factory","a building or group of buildings where goods are made, mainly by machine"
"ethnic","connected with or belonging to a group of people that share a cultural tradition"
"entrance","a door, gate, passage, etc. used for entering a room, building or place"
"episode","one part of a story that is broadcast on television or radio in several parts"
"fall","to drop down from a higher level to a lower level"
"energy","the strength, effort and enthusiasm required for physical or mental activity, work, etc."
"disorder","a condition or illness that causes problems with the way part of the body or brain works"
"document","an official paper, book or electronic file that gives information about something, or that can be used as evidence or proof of something"
"distribute","to give things to a large number of people; to share something between a number of people or groups"
"era","a period of time, usually in history, that is different from other periods because of particular characteristics or events"
"farm","an area of land, and the buildings on it, used for growing crops and/or keeping animals"
"ever","used in negative sentences and questions, or sentences with  to mean ‘at any time’"
"enjoy","to get pleasure from something"
"dna","the chemical in the cells of animals and plants that carries genetic information and is a type of nucleic acid (the abbreviation for )"
"establishment","an organization, a large institution or a hotel"
"explanation","a statement, fact, or situation that tells you why something happened; a reason given for something"
"down","to or at a lower place or position"
"favor","a thing that you do to help somebody"
"entirely","in every way possible; completely"
"evolution","the slow steady development of plants, animals, etc. during the history of the earth, as they adapt to changes in their environment"
"evaluation","the act of forming an opinion of the amount, value or quality of something after thinking about it carefully"
"draw","to make pictures, or a picture of something, with a pencil, pen or chalk (but not paint)"
"feeling","something that you feel through the mind or through the senses"
"extend","to make something longer or larger"
"excellent","extremely good"
"door","a piece of wood, glass, etc. that is opened and closed so that people can get in and out of a room, building, car, etc.; a similar thing in a cupboard"
"everyday","used or happening every day or regularly; ordinary"
"field","an area of land in the country used for growing crops or keeping animals in, usually surrounded by a fence, etc."
"drug","an illegal substance that some people smoke, inject, etc. for the physical and mental effects it has"
"essay","a short piece of writing by a student as part of a course of study"
"drama","a play for the theatre, television or radio"
"exhibition","a collection of things, for example works of art, that are shown to the public"
"exactly","used to emphasize that something is correct in every way or in every detail"
"file","a box or folded piece of card for keeping loose papers together and in order"
"ear","either of the organs on the sides of the head that you hear with"
"ethics","moral principles that control or influence a person’s behaviour"
"expense","the money that you spend on something"
"finding","information that is discovered as the result of research into something"
"exchange","an act of giving something to somebody or doing something for somebody and receiving something in return"
"eastern","located in the east or facing east"
"drive","to operate a vehicle so that it goes in a particular direction"
"eventually","at the end of a period of time or a series of events"
"explore","to travel to or around an area or a country in order to learn about it"
"existing","found or used now"
"fishing","the sport or business of catching fish"
"edition","the form in which a book, newspaper, etc. is published"
"extensive","covering a large area; great in amount"
"duty","something that you feel you have to do because it is your moral or legal responsibility"
"experiment","a scientific test that is done in order to study what happens and to gain new knowledge"
"evidence","the facts, signs or objects that make you believe that something is true"
"flavor","how food or drink tastes"
"equipment","the things that are needed for a particular purpose or activity"
"effectively","in a way that produces the intended result or a successful result"
"exceed","to be greater than a particular number or amount"
"fabric","material made by weaving wool, cotton, silk, etc., used for making clothes, curtains, etc. and for covering furniture"
"ease","lack of difficulty"
"exposure","the state of being in a place or situation where there is no protection from something harmful or unpleasant"
"extremely","to a very high degree"
"fly","to move through the air, using wings"
"exhibit","to show something in a public place for people to enjoy or to give them information"
"economist","a person who studies or writes about economics"
"extra","more than is usual, expected, or than exists already"
"establish","to start or create an organization, a system, etc. that is meant to last for a long time"
"fail","to not be successful in achieving something"
"faculty","a department or group of related departments in a college or university"
"expectation","a belief that something will happen because it is likely"
"educator","a person whose job is to teach or educate people"
"elect","to choose somebody to do a particular job by voting for them"
"fact","a thing that is known to be true, especially when it can be proved"
"evaluate","to form an opinion of the amount, value or quality of something after thinking about it carefully"
"family","a group consisting of one or two parents and their children"
"false","wrong; not correct or true"
"explode","to burst  or make something burst loudly and violently, causing damage"
"eight","8"
"elite","belonging to a group of people in society that is small in number but powerful and with a lot of influence, because they are rich, intelligent, etc."
"for","used to show who is intended to have or use something or where something is intended to be put"
"everybody","every person; all people"
"fairly","to some extent but not very"
"farmer","a person who owns or manages a farm"
"fast","moving or able to move quickly"
"extension","the act of increasing the area of activity, group of people, etc. that is affected by something"
"formation","the action of forming something; the process of being formed"
"fantasy","a pleasant situation that you imagine but that is unlikely to happen"
"favorite","liked more than others of the same kind"
"exact","correct in every detail"
"feature","something important, interesting or typical of a place or thing"
"eye","either of the two organs on the face that you see with"
"founder","a person who starts an organization, institution, etc. or causes something to be built"
"element","a necessary or typical part of something; one of several parts that something contains"
"father","a male parent of a child or an animal; a person who is acting as the father to a child"
"fellow","used to describe somebody who is the same as you in some way, or in the same situation"
"exception","a person or thing that is not included in a general statement"
"fence","a structure made of wood or wire supported with posts that is put between two areas of land as a boundary, or around a garden, field, etc. to keep animals in, or to keep people and animals out"
"emerge","to move out of or away from something and become possible to see"
"fade","to become or to make something become paler or less bright"
"fifteen","15"
"french","of or connected with France, its people or its language"
"existence","the state or fact of being real or living or of being present"
"feed","to give food to a person or an animal"
"fifty","50"
"employee","a person who is paid to work for somebody"
"familiar","well known to you; often seen or heard and therefore easy to recognize"
"experience","the knowledge and skill that you have gained through doing something for a period of time; the process of gaining this"
"final","being or happening at the end of a series of events, actions, statements, etc."
"fill","to make something full of something; to become full of something"
"from","used to show where somebody/something starts"
"fiber","the part of food that helps to keep a person healthy by keeping the bowels working and moving other food quickly through the body"
"function","a special activity or purpose of a person or thing"
"expose","to show something that is usually hidden"
"fighting","the activity of being involved in a battle against an enemy"
"finish","to stop doing something or making something because it is complete"
"fine","in good health"
"enemy","a person who hates somebody or who acts or speaks against somebody/something"
"future","the time that will come after the present or the events that will happen then"
"financial","connected with money and finance"
"fashion","a popular style of clothes, hair, etc. at a particular time or place; the state of being popular"
"enhance","to increase or further improve the good quality, value or status of somebody/something"
"five","5"
"fit","to be the right shape and size for somebody/something"
"external","connected with or located on the outside of something/somebody"
"emotion","a strong feeling such as love, fear or anger; the part of a person’s character that consists of feelings"
"entire","including everything, everyone or every part"
"fear","the bad feeling that you have when you are in danger or when a particular thing frightens you"
"flee","to leave a person or place very quickly, especially because you are afraid of possible danger"
"flight","a journey made by air, especially in a plane"
"facility","buildings, services, equipment, etc. that are provided for a particular purpose"
"empty","with no people or things inside"
"first","happening or coming before all other similar things or people; 1st"
"female","being a woman or a girl"
"focus","to give attention, effort, etc. to one particular subject, situation or person rather than another"
"follow","to come or go after or behind somebody/something"
"engage","to succeed in attracting and keeping somebody’s attention and interest"
"flame","a hot bright stream of burning gas that comes from something that is on fire"
"fair","acceptable and appropriate in a particular situation"
"enough","used before plural or uncountable nouns to mean ‘as many or as much as somebody needs or wants’"
"flow","the steady and continuous movement of something/somebody in one direction"
"fan","a person who admires somebody/something or enjoys watching or listening to somebody/something very much"
"fifth","5th"
"forest","a large area of land that is thickly covered with trees"
"entry","an act of going into or getting into a place"
"forth","away from a place; out"
"film","a series of moving pictures recorded with sound that tells a story, watched at a cinema or on a television or other device"
"foot","the lowest part of the leg, below the ankle, on which a person or an animal stands"
"fate","the things, especially bad things, that will happen or have happened to somebody/something"
"error","a mistake, especially one that causes problems or affects the result of something"
"frame","a strong border or structure of wood, metal, etc. that holds a picture, door, piece of glass, etc. in position"
"finger","one of the four long thin parts that stick out from the hand (or five, if the thumb is included)"
"form","a type or variety of something"
"fee","an amount of money that you pay for professional advice or services"
"estate","an area of land with a lot of houses or factories of the same type on it"
"fitness","the state of being physically healthy and strong"
"frequently","often"
"found","to start something, such as an organization or an institution, especially by providing money"
"fewer","a small number of people, things or places; some"
"flesh","the soft substance between the skin and bones of animal or human bodies"
"even","used to emphasize something unexpected or surprising"
"equally","to the same degree; in the same or in a similar way"
"folk","people in general"
"everyone","every person; all people"
"essentially","when you think about the true, important or basic nature of somebody/something"
"frustration","the feeling of being frustrated"
"fighter","a fast military plane designed to attack other aircraft"
"freedom","the power or right to do or say what you want without anyone stopping you"
"force","violent physical action used to obtain or achieve something"
"garden","a piece of land next to or around your house where you can grow flowers, fruit, vegetables, etc., usually with a lawn"
"funding","money for a particular purpose; the act of providing money for such a purpose"
"foreign","in or from a country that is not your own"
"finance","money used to run a business, an activity or a project"
"friendly","behaving in a kind and pleasant way because you like somebody or want to help them"
"gender","the fact of being male or female, especially when considered with reference to social and cultural differences, rather than differences in biology; members of a particular  as a group"
"former","that existed in earlier times"
"gallery","a room or building for showing works of art, especially to the public"
"formula","a series of letters, numbers or symbols that represent a rule or law"
"firm","a business or company"
"four","4"
"fully","completely"
"fourth","4th"
"gate","a barrier like a door that is used to close an opening in a fence or a wall outside a building"
"gently","in a way that is soft and light, not strong, extreme or violent"
"flag","a piece of cloth with a special coloured design on it that may be the symbol of a particular country or organization, may be used to give a signal or may have a particular meaning. A  can be attached to a pole  or held in the hand."
"generally","by or to most people"
"furniture","objects that can be moved, such as tables, chairs and beds, that are put into a house or an office to make it suitable for living or working in"
"frequency","the rate at which something happens or is repeated"
"floor","the surface of a room that you walk on"
"frequent","happening or doing something often"
"gap","a space where something is missing"
"front","the part or side of something that faces forward; the side of something that you look at first"
"food","things that people or animals eat"
"examination","a formal written, spoken or practical test, especially at school or college, to see how much you know about a subject, or what you can do"
"fruit","the part of a plant that consists of one or more seeds and a soft inner part, can be eaten as food and usually tastes sweet"
"get","to receive something"
"gaze","to look steadily at somebody/something for a long time, either because you are very interested or surprised, or because you are thinking of something else"
"european","of or connected with Europe"
"forget","to not remember to do something that you ought to do, or to bring or buy something that you ought to bring or buy"
"fundamental","serious and very important; affecting the most central and important parts of something"
"exciting","causing great interest or excitement"
"genetic","connected with genes (= the units in the cells of a living thing that control its physical characteristics) or genetics (= the study of genes)"
"every","used with singular nouns to refer to all the members of a group of things or people"
"forward","towards a place or position that is in front"
"galaxy","any of the large systems of stars, etc. in outer space"
"expand","to become greater in size, number or importance; to make something greater in size, number or importance"
"gift","a thing that you give to somebody, especially on a special occasion or to say thank you"
"given","already arranged"
"evolve","to develop gradually, especially from a simple to a more complicated form; to develop something in this way"
"free","without particular plans or arrangements; not busy"
"expert","a person with special knowledge, skill or training in something"
"gas","any substance like air that is neither a solid nor a liquid, for example hydrogen or oxygen"
"glass","a hard, usually clear, substance used, for example, for making windows and bottles"
"girl","a female child"
"god","the being or spirit that is  and is believed to have created the universe"
"except","used before you mention the only thing or person about which a statement is not true"
"friend","a person you know well and like, and who is not usually a member of your family"
"express","to show or make known a feeling, an opinion, etc. by words, looks or actions"
"golf","a game played over a large area of ground using sticks with a special shape to hit a small hard ball (a ) into a series of 9 or 18 holes, using as few shots as possible"
"glove","a piece of clothing for the hand, made of wool, leather, etc. with separate parts for each finger and the thumb"
"grade","a mark given in an exam or for a piece of school work"
"general","affecting all or most people, places or things"
"exist","to be real; to be present in a place or situation"
"full","containing or holding as much or as many as possible; having no empty space"
"extraordinary","unexpected, surprising or strange"
"government","the group of people who are responsible for controlling a country or a state"
"grain","the small hard seeds of food plants such as wheat, rice, etc.; a single seed of such a plant"
"grass","a common wild plant with narrow green leaves and  that are eaten by cows, horses, sheep, etc."
"expensive","costing a lot of money"
"gesture","a movement that you make with your hands, your head or your face to show a particular meaning"
"funny","making you laugh"
"fund","an amount of money that has been saved or has been made available for a particular purpose"
"grandfather","the father of your father or mother"
"factor","one of several things that cause or influence something"
"great","very good or pleasant"
"give","to hand something to somebody so that they can look at it, use it or keep it for a time"
"group","a number of people or things that are together in the same place or that are connected in some way"
"explosion","the sudden violent bursting and loud noise of something such as a bomb exploding; the act of deliberately causing something to explode"
"gang","an organized group of criminals"
"growth","the process in people, animals or plants of growing physically, mentally or emotionally"
"faith","trust in somebody’s ability or knowledge; trust that somebody/something will do what has been promised"
"guide","a person who shows other people the way to a place, especially somebody employed to show tourists around interesting places"
